card_no,card_title,original_file,new_file,source_name,source_url,pinterest,multi_image_card
12,Groningen Assen Regional Strategy Plan,12.webp,plan-ref-12-groningen-assen-regional-strategy-plan.webp,De Zwarte Hond,https://dezwartehond.nl/projecten/verstedelijkingsstrategie-regio-groningen-assen/,No,No
13,Pinterest Waterfront Site Plan,13.jpg,plan-ref-13-pinterest-waterfront-site-plan.webp,Pinterest,https://www.pinterest.com/pin/626844841924639070/,Yes,No
14,Bochum Gerthe West Masterplan,14.jpg,plan-ref-14-bochum-gerthe-west-masterplan.webp,Cityförster,https://www.cityfoerster.net/projects/bochum_gerthe_west-493-2.html,No,No
15,Pinterest Urban Green Plan,15.jpg,plan-ref-15-pinterest-urban-green-plan.webp,Pinterest,https://www.pinterest.com/pin/626844841924639054/,Yes,No
16,Pinterest Linear Park Plan,16.jpg,plan-ref-16-pinterest-linear-park-plan.webp,Pinterest,https://www.pinterest.com/pin/361413938861261010/,Yes,No
17,Pinterest Residential Block Plan,17.jpg,plan-ref-17-pinterest-residential-block-plan.webp,Pinterest,https://www.pinterest.com/pin/567735096792869872/,Yes,No
18,Ørestad Fælled Quarter Perspective Plan,18.jpg,plan-ref-18-orestad-faelled-quarter-perspective-plan.webp,Vandkunsten,https://vandkunsten.com/projects/orestad-faelled-kvarter,No,No
19,Pinterest Coastal Urban Plan,19.jpg,plan-ref-19-pinterest-coastal-urban-plan.webp,Pinterest,https://www.pinterest.com/pin/373517362853277300/,Yes,No
20,Pinterest Park Masterplan,20.jpg,plan-ref-20-pinterest-park-masterplan.webp,Pinterest,https://www.pinterest.com/pin/331366485099298376/,Yes,No
21,Pinterest Neighborhood Plan,21.jpg,plan-ref-21-pinterest-neighborhood-plan.webp,Pinterest,https://www.pinterest.com/pin/303359724894963066/,Yes,No
22,Pinterest Pocket Plaza Plan,22.jpg,plan-ref-22-pinterest-pocket-plaza-plan.webp,Pinterest,https://www.pinterest.com/pin/649996158722455866/,Yes,No
23,Pinterest Canal Urban Plan,23.jpg,plan-ref-23-pinterest-canal-urban-plan.webp,Pinterest,https://www.pinterest.com/pin/308074430735960414/,Yes,No
24,Pinterest Riverside Site Plan,24.jpg,plan-ref-24-pinterest-riverside-site-plan.webp,Pinterest,https://www.pinterest.com/pin/311100286773124490/,Yes,No
25,Pinterest Courtyard Garden Plan,25.jpg,plan-ref-25-pinterest-courtyard-garden-plan.webp,Pinterest,https://www.pinterest.com/pin/790452172102431793/,Yes,No
26,Octagon Competition Urban Plan,26.jpg,plan-ref-26-octagon-competition-urban-plan.webp,Octagon Architekturkollektiv,https://www.octagon-architekturkollektiv.net/arbeiten/kon/,No,No
27,Pinterest Blue Residential Plan,27.jpg,plan-ref-27-pinterest-blue-residential-plan.webp,Pinterest,https://www.pinterest.com/pin/781515341637869912/,Yes,No
28,Pinterest Warm Housing Plan,28.jpg,plan-ref-28-pinterest-warm-housing-plan.webp,Pinterest,https://www.pinterest.com/pin/700169073358319458/,Yes,No
29,AB Basis Courtyard Ground Plan,29.jpg,plan-ref-29-ab-basis-courtyard-ground-plan.webp,AB Basis,https://ab-basis.com/en/projects/residential-block/,No,No
30,Green Living Board Series,30-1.webp,plan-ref-30-juliana-kanishi-green-living-board-series-01.webp,Juliana Kanishi,https://julianakanishi.com/new-page-5,No,Yes
30,Green Living Board Series,30-2.webp,plan-ref-30-juliana-kanishi-green-living-board-series-02.webp,Juliana Kanishi,https://julianakanishi.com/new-page-5,No,Yes
30,Green Living Board Series,30-3.webp,plan-ref-30-juliana-kanishi-green-living-board-series-03.webp,Juliana Kanishi,https://julianakanishi.com/new-page-5,No,Yes
30,Green Living Board Series,30-4.webp,plan-ref-30-juliana-kanishi-green-living-board-series-04.webp,Juliana Kanishi,https://julianakanishi.com/new-page-5,No,Yes
