card_no,card_title,original_file,new_file,source_name,source_url,pinterest,multi_image_card
17,Water Tower Competition Board Series A,17-1.jpg,render-ref-17-water-tower-competition-board-series-a-01.webp,TerraViva Competitions,https://www.terravivacompetitions.com/the-water-tower-competition-results-2025/,No,Yes
17,Water Tower Competition Board Series A,17-2.jpg,render-ref-17-water-tower-competition-board-series-a-02.webp,TerraViva Competitions,https://www.terravivacompetitions.com/the-water-tower-competition-results-2025/,No,Yes
18,Water Tower Competition Board Series B,18-1.jpg,render-ref-18-water-tower-competition-board-series-b-01.webp,TerraViva Competitions,https://www.terravivacompetitions.com/the-water-tower-competition-results-2025/,No,Yes
18,Water Tower Competition Board Series B,18-2.jpg,render-ref-18-water-tower-competition-board-series-b-02.webp,TerraViva Competitions,https://www.terravivacompetitions.com/the-water-tower-competition-results-2025/,No,Yes
19,Lycee Vincennes Interior Narrative Series,19-1.png,render-ref-19-lycee-vincennes-interior-narrative-series-01.webp,Gaëlle Anastasio,https://gaelleanastasio.com/lycee-vincennes,No,Yes
19,Lycee Vincennes Interior Narrative Series,19-2.png,render-ref-19-lycee-vincennes-interior-narrative-series-02.webp,Gaëlle Anastasio,https://gaelleanastasio.com/lycee-vincennes,No,Yes
19,Lycee Vincennes Interior Narrative Series,19-3.png,render-ref-19-lycee-vincennes-interior-narrative-series-03.webp,Gaëlle Anastasio,https://gaelleanastasio.com/lycee-vincennes,No,Yes
19,Lycee Vincennes Interior Narrative Series,19-4.png,render-ref-19-lycee-vincennes-interior-narrative-series-04.webp,Gaëlle Anastasio,https://gaelleanastasio.com/lycee-vincennes,No,Yes
20,Pinterest Neighborhood Axon Collage,20.jpg,render-ref-20-pinterest-neighborhood-axon-collage.webp,Pinterest 链接,https://www.pinterest.com/pin/626844841911490674/,Yes,No
21,Pinterest Productive Green Section,21.jpg,render-ref-21-pinterest-productive-green-section.webp,Pinterest 链接,https://www.pinterest.com/pin/289004501099663433/,Yes,No
22,Meindl Areal Dorfen Board Series,22-1.png,render-ref-22-meindl-areal-dorfen-board-series-01.webp,BJP Planer,https://www.bjp-planer.de/projekte/meindl-areal-dorfen,No,Yes
22,Meindl Areal Dorfen Board Series,22-2.png,render-ref-22-meindl-areal-dorfen-board-series-02.webp,BJP Planer,https://www.bjp-planer.de/projekte/meindl-areal-dorfen,No,Yes
22,Meindl Areal Dorfen Board Series,22-3.png,render-ref-22-meindl-areal-dorfen-board-series-03.webp,BJP Planer,https://www.bjp-planer.de/projekte/meindl-areal-dorfen,No,Yes
22,Meindl Areal Dorfen Board Series,22-4.png,render-ref-22-meindl-areal-dorfen-board-series-04.webp,BJP Planer,https://www.bjp-planer.de/projekte/meindl-areal-dorfen,No,Yes
23,Pinterest Waterfront Strategy Board,23.jpg,render-ref-23-pinterest-waterfront-strategy-board.webp,Pinterest 链接,https://www.pinterest.com/pin/573646071298857150/,Yes,No
24,Pinterest Mixed-Use Waterfront Axon,24.jpg,render-ref-24-pinterest-mixed-use-waterfront-axon.webp,Pinterest 链接,https://www.pinterest.com/pin/423901383690083950/,Yes,No
25,Pinterest Green Courtyard Axon,25.jpg,render-ref-25-pinterest-green-courtyard-axon.webp,Pinterest 链接,https://www.pinterest.com/pin/588986457509359349/,Yes,No
26,Pinterest Regional Strategy Diagram,26.jpg,render-ref-26-pinterest-regional-strategy-diagram.webp,Pinterest 链接,https://www.pinterest.com/pin/905223593862390336/,Yes,No
27,Pinterest Annotated Masterplan Board,27.jpg,render-ref-27-pinterest-annotated-masterplan-board.webp,Pinterest 链接,https://www.pinterest.com/pin/700028335870352127/,Yes,No
28,Residential Landscape Axon Village,28.jpg,render-ref-28-residential-landscape-axon-village.webp,DnD Landschaftsplanung,https://www.dnd.at/index.php?inc=projectSelection&id=194%3A3614,No,No
29,Pinterest Playground Overview Axon,29.jpg,render-ref-29-pinterest-playground-overview-axon.webp,Pinterest 链接,https://www.pinterest.com/pin/318348267411208068/,Yes,No
30,Pinterest Urban Narrative Board,30.jpg,render-ref-30-pinterest-urban-narrative-board.webp,Pinterest 链接,https://www.pinterest.com/pin/385480049354174624/,Yes,No
31,Pinterest Turquoise Site Diagram,31.jpg,render-ref-31-pinterest-turquoise-site-diagram.webp,Pinterest 链接,https://www.pinterest.com/pin/596023331935325400/,Yes,No
32,Pinterest Warm Interior Cutaway,32.webp,render-ref-32-pinterest-warm-interior-cutaway.webp,Pinterest 链接,https://www.pinterest.com/pin/578220039688711505/,Yes,No
33,Pinterest Grand Axis Landscape Collage,33.jpg,render-ref-33-pinterest-grand-axis-landscape-collage.webp,Pinterest 链接,https://www.pinterest.com/pin/626844841913891965/,Yes,No
34,Pinterest Circular Masterplan Poster,34.jpg,render-ref-34-pinterest-circular-masterplan-poster.webp,Pinterest 链接,https://www.pinterest.com/pin/343047696631394719/,Yes,No
35,Pinterest Housing Masterplan Poster,35.jpg,render-ref-35-pinterest-housing-masterplan-poster.webp,Pinterest 链接,https://www.pinterest.com/pin/419749627783705757/,Yes,No
36,Pinterest Dense Urban Axon,36.jpg,render-ref-36-pinterest-dense-urban-axon.webp,Pinterest 链接,https://www.pinterest.com/pin/354306695685140399/,Yes,No
37,Pinterest Salmon Project Board,37.jpg,render-ref-37-pinterest-salmon-project-board.webp,Pinterest 链接,https://www.pinterest.com/pin/606367537321628744/,Yes,No
38,Pinterest Pale Blue Analysis Board,38.jpg,render-ref-38-pinterest-pale-blue-analysis-board.webp,Pinterest 链接,https://www.pinterest.com/pin/602989837651360919/,Yes,No
39,Re-Gen Gorizia Landscape Series A,39-1.jpg,render-ref-39-re-gen-gorizia-landscape-series-a-01.webp,competitions.archi,https://competitions.archi/competition/results-re-gen-gorizia/?utm_source=Pinterest&utm_medium=organic&epik=dj0yJnU9aFpuTWVHZHRacDNoVTJWMF9VUFoyYWJDdkFTbHF4aDgmcD0wJm49b2EyTDIyOU9INExjS0tEMTFpTTNjdyZ0PUFBQUFBR29sVUcw#google_vignette,No,Yes
39,Re-Gen Gorizia Landscape Series A,39-2.jpg,render-ref-39-re-gen-gorizia-landscape-series-a-02.webp,competitions.archi,https://competitions.archi/competition/results-re-gen-gorizia/?utm_source=Pinterest&utm_medium=organic&epik=dj0yJnU9aFpuTWVHZHRacDNoVTJWMF9VUFoyYWJDdkFTbHF4aDgmcD0wJm49b2EyTDIyOU9INExjS0tEMTFpTTNjdyZ0PUFBQUFBR29sVUcw#google_vignette,No,Yes
39,Re-Gen Gorizia Landscape Series A,39-3.jpg,render-ref-39-re-gen-gorizia-landscape-series-a-03.webp,competitions.archi,https://competitions.archi/competition/results-re-gen-gorizia/?utm_source=Pinterest&utm_medium=organic&epik=dj0yJnU9aFpuTWVHZHRacDNoVTJWMF9VUFoyYWJDdkFTbHF4aDgmcD0wJm49b2EyTDIyOU9INExjS0tEMTFpTTNjdyZ0PUFBQUFBR29sVUcw#google_vignette,No,Yes
40,Re-Gen Gorizia Landscape Series B,40-1.jpg,render-ref-40-re-gen-gorizia-landscape-series-b-01.webp,competitions.archi,https://competitions.archi/competition/results-re-gen-gorizia/?utm_source=Pinterest&utm_medium=organic&epik=dj0yJnU9aFpuTWVHZHRacDNoVTJWMF9VUFoyYWJDdkFTbHF4aDgmcD0wJm49b2EyTDIyOU9INExjS0tEMTFpTTNjdyZ0PUFBQUFBR29sVUcw#google_vignette,No,Yes
40,Re-Gen Gorizia Landscape Series B,40-2.jpg,render-ref-40-re-gen-gorizia-landscape-series-b-02.webp,competitions.archi,https://competitions.archi/competition/results-re-gen-gorizia/?utm_source=Pinterest&utm_medium=organic&epik=dj0yJnU9aFpuTWVHZHRacDNoVTJWMF9VUFoyYWJDdkFTbHF4aDgmcD0wJm49b2EyTDIyOU9INExjS0tEMTFpTTNjdyZ0PUFBQUFBR29sVUcw#google_vignette,No,Yes
40,Re-Gen Gorizia Landscape Series B,40-3.jpg,render-ref-40-re-gen-gorizia-landscape-series-b-03.webp,competitions.archi,https://competitions.archi/competition/results-re-gen-gorizia/?utm_source=Pinterest&utm_medium=organic&epik=dj0yJnU9aFpuTWVHZHRacDNoVTJWMF9VUFoyYWJDdkFTbHF4aDgmcD0wJm49b2EyTDIyOU9INExjS0tEMTFpTTNjdyZ0PUFBQUFBR29sVUcw#google_vignette,No,Yes
41,Re-Gen Gorizia Landscape Series C,41-1.jpg,render-ref-41-re-gen-gorizia-landscape-series-c-01.webp,competitions.archi,https://competitions.archi/competition/results-re-gen-gorizia/?utm_source=Pinterest&utm_medium=organic&epik=dj0yJnU9aFpuTWVHZHRacDNoVTJWMF9VUFoyYWJDdkFTbHF4aDgmcD0wJm49b2EyTDIyOU9INExjS0tEMTFpTTNjdyZ0PUFBQUFBR29sVUcw#google_vignette,No,Yes
41,Re-Gen Gorizia Landscape Series C,41-2.jpg,render-ref-41-re-gen-gorizia-landscape-series-c-02.webp,competitions.archi,https://competitions.archi/competition/results-re-gen-gorizia/?utm_source=Pinterest&utm_medium=organic&epik=dj0yJnU9aFpuTWVHZHRacDNoVTJWMF9VUFoyYWJDdkFTbHF4aDgmcD0wJm49b2EyTDIyOU9INExjS0tEMTFpTTNjdyZ0PUFBQUFBR29sVUcw#google_vignette,No,Yes
41,Re-Gen Gorizia Landscape Series C,41-3.jpg,render-ref-41-re-gen-gorizia-landscape-series-c-03.webp,competitions.archi,https://competitions.archi/competition/results-re-gen-gorizia/?utm_source=Pinterest&utm_medium=organic&epik=dj0yJnU9aFpuTWVHZHRacDNoVTJWMF9VUFoyYWJDdkFTbHF4aDgmcD0wJm49b2EyTDIyOU9INExjS0tEMTFpTTNjdyZ0PUFBQUFBR29sVUcw#google_vignette,No,Yes
42,Re-Gen Gorizia Landscape Series D,42-1.jpg,render-ref-42-re-gen-gorizia-landscape-series-d-01.webp,competitions.archi,https://competitions.archi/competition/results-re-gen-gorizia/?utm_source=Pinterest&utm_medium=organic&epik=dj0yJnU9aFpuTWVHZHRacDNoVTJWMF9VUFoyYWJDdkFTbHF4aDgmcD0wJm49b2EyTDIyOU9INExjS0tEMTFpTTNjdyZ0PUFBQUFBR29sVUcw#google_vignette,No,Yes
42,Re-Gen Gorizia Landscape Series D,42-2.jpg,render-ref-42-re-gen-gorizia-landscape-series-d-02.webp,competitions.archi,https://competitions.archi/competition/results-re-gen-gorizia/?utm_source=Pinterest&utm_medium=organic&epik=dj0yJnU9aFpuTWVHZHRacDNoVTJWMF9VUFoyYWJDdkFTbHF4aDgmcD0wJm49b2EyTDIyOU9INExjS0tEMTFpTTNjdyZ0PUFBQUFBR29sVUcw#google_vignette,No,Yes
42,Re-Gen Gorizia Landscape Series D,42-3.jpg,render-ref-42-re-gen-gorizia-landscape-series-d-03.webp,competitions.archi,https://competitions.archi/competition/results-re-gen-gorizia/?utm_source=Pinterest&utm_medium=organic&epik=dj0yJnU9aFpuTWVHZHRacDNoVTJWMF9VUFoyYWJDdkFTbHF4aDgmcD0wJm49b2EyTDIyOU9INExjS0tEMTFpTTNjdyZ0PUFBQUFBR29sVUcw#google_vignette,No,Yes
43,Pinterest Illustrated Urban Poster,43.jpg,render-ref-43-pinterest-illustrated-urban-poster.webp,Pinterest 链接,https://www.pinterest.com/pin/739434832612003822/,Yes,No
44,Pinterest Flows Here Urban Poster,44.jpg,render-ref-44-pinterest-flows-here-urban-poster.webp,Pinterest 链接,https://www.pinterest.com/pin/941322759634720276/,Yes,No
45,Pinterest Vertical Park Poster,45.jpg,render-ref-45-pinterest-vertical-park-poster.webp,Pinterest 链接,https://www.pinterest.com/pin/757308493591328567/,Yes,No
46,Urban Vertical Forest Study Series,46-1.jpg,render-ref-46-urban-vertical-forest-study-series-01.webp,KoozArch,https://www.koozarch.com/interviews/urban-vertical-forest,No,Yes
46,Urban Vertical Forest Study Series,46-2.png,render-ref-46-urban-vertical-forest-study-series-02.webp,KoozArch,https://www.koozarch.com/interviews/urban-vertical-forest,No,Yes
46,Urban Vertical Forest Study Series,46-3.png,render-ref-46-urban-vertical-forest-study-series-03.webp,KoozArch,https://www.koozarch.com/interviews/urban-vertical-forest,No,Yes
46,Urban Vertical Forest Study Series,46-4.png,render-ref-46-urban-vertical-forest-study-series-04.webp,KoozArch,https://www.koozarch.com/interviews/urban-vertical-forest,No,Yes
47,Pinterest Pink Waterfront Axon,47.jpg,render-ref-47-pinterest-pink-waterfront-axon.webp,Pinterest 链接,https://www.pinterest.com/pin/256212666290189617/,Yes,No
48,Pinterest Orange Collage Perspective,48.jpg,render-ref-48-pinterest-orange-collage-perspective.webp,Pinterest 链接,https://www.pinterest.com/pin/520236194460959633/,Yes,No
49,Pinterest Interior Forest Section,49.jpg,render-ref-49-pinterest-interior-forest-section.webp,Pinterest 链接,https://www.pinterest.com/pin/615022892839746273/,Yes,No
50,Pinterest Red City Collage,50.png,render-ref-50-pinterest-red-city-collage.webp,Pinterest 链接,https://www.pinterest.com/pin/531987774729168450/,Yes,No
51,Pinterest Blue Tower Storyboard,51.jpg,render-ref-51-pinterest-blue-tower-storyboard.webp,Pinterest 链接,https://www.pinterest.com/pin/626844841905303892/,Yes,No
52,Pinterest Blue Eco Board,52.jpg,render-ref-52-pinterest-blue-eco-board.webp,Pinterest 链接,https://www.pinterest.com/pin/956029827190615567/,Yes,No
53,Coastal Housing Board,53.png,render-ref-53-coastal-housing-board.webp,Behance,https://www.behance.net/gallery/151022813/Architecture-design-Lot-nad-orlowskim-gniazdem?utm_source=Pinterest&utm_medium=organic,No,No
54,Tactical Urbanism Now Board,54.jpg,render-ref-54-tactical-urbanism-now-board.webp,competitions.archi,https://competitions.archi/competition/results-tactical-urbanism-now-2025/?utm_source=Pinterest&utm_medium=organic&epik=dj0yJnU9TzBtbzR6a0FudnlCZV9wNlhQWUFodXBISHdIX29LeW4mcD0wJm49YWRXRW9rVHU5S1hTSzlDc2FHWmFLZyZ0PUFBQUFBR29sV1pB,No,No
55,UNI XYZ Flooding System Series,55-1.jpeg,render-ref-55-uni-xyz-flooding-system-series-01.webp,UNI.XYZ,https://uni.xyz/projects/creative-board-desc-this-is-a-modular--2?utm_source=Pinterest&utm_medium=organic,No,Yes
55,UNI XYZ Flooding System Series,55-2.jpeg,render-ref-55-uni-xyz-flooding-system-series-02.webp,UNI.XYZ,https://uni.xyz/projects/creative-board-desc-this-is-a-modular--2?utm_source=Pinterest&utm_medium=organic,No,Yes
55,UNI XYZ Flooding System Series,55-3.jpeg,render-ref-55-uni-xyz-flooding-system-series-03.webp,UNI.XYZ,https://uni.xyz/projects/creative-board-desc-this-is-a-modular--2?utm_source=Pinterest&utm_medium=organic,No,Yes
55,UNI XYZ Flooding System Series,55-4.jpeg,render-ref-55-uni-xyz-flooding-system-series-04.webp,UNI.XYZ,https://uni.xyz/projects/creative-board-desc-this-is-a-modular--2?utm_source=Pinterest&utm_medium=organic,No,Yes
56,AB Basis Pink Landscape Axon Series,56-1.jpg,render-ref-56-ab-basis-pink-landscape-axon-series-01.webp,AB Basis,https://ab-basis.com/en/projects/residential-block/,No,Yes
